id,serial,product,action
1,ACC,"AirPort Extreme 802.11n (4th Generation) MC340LL/A",
2,DM72,"AirPort Extreme 802.11n (5th Generation) MD031LL/A",
3,PKM,"Apple LCD Cinema Display (30-inch, DVI) M9179LL/A",
4,DJGR,"Apple LED Thunderbolt Display (27-inch) MC914LL/A",
5,F2GC,"Apple LED Thunderbolt Display (27-inch) MC914LL/A",
6,ACD,"Apple Time Capsule 802.11n (3rd Generation) 1TB MC343LL/A",
7,ACG,"Apple Time Capsule 802.11n (3rd Generation) 1TB MC343LL/A",
8,ACD,"Apple Time Capsule 802.11n (3rd Generation) 2TB MC344LL/A",
9,ACG,"Apple Time Capsule 802.11n (3rd Generation) 2TB MC344LL/A",
10,DM73,"Apple Time Capsule 802.11n (4th Generation) 2TB MD032LL/A",
11,DM74,"Apple Time Capsule 802.11n (4th Generation) 2TB MD032LL/A",
12,DM73,"Apple Time Capsule 802.11n (4th Generation) 3TB MD033LL/A",
13,DM74,"Apple Time Capsule 802.11n (4th Generation) 3TB MD033LL/A",
14,DRHN,"Apple TV (3rd Generation) MD199LL/A",
15,FFYV,"Apple iMac 21.5-inch 3.3GHz Core i3 (Early 2013) ME699LL/A",
18,5PK,"Apple iMac 21.5-inch 3.06GHz Core 2 Duo (Late 2009) MB950LL/A",
19,5PK,"Apple iMac 21.5-inch 3.33GHz Core 2 Duo (Late 2009) MC413LL/A",
20,B9S,"Apple iMac 21.5-inch 3.06GHz Core 2 Duo (Late 2009) MB950LL/A",
21,B9S,"Apple iMac 21.5-inch 3.33GHz Core 2 Duo (Late 2009) MC413LL/A",
22,B9U,"Apple iMac 21.5-inch 3.06GHz Core 2 Duo (Late 2009) MB950LL/A",
23,B9U,"Apple iMac 21.5-inch 3.33GHz Core 2 Duo (Late 2009) MC413LL/A",
24,DMX,"Apple iMac 21.5-inch 3.06GHz Core 2 Duo (Late 2009) MB950LL/A",
25,DMX,"Apple iMac 21.5-inch 3.33GHz Core 2 Duo (Late 2009) MC413LL/A",
26,DWR,"Apple iMac 21.5-inch 3.06GHz Core 2 Duo (Late 2009) MB950LL/A",
27,DWR,"Apple iMac 21.5-inch 3.33GHz Core 2 Duo (Late 2009) MC413LL/A",
28,DKL9,"Apple iMac 21.5-inch 3.1GHz Core i3 (Late 2011) MC978LL/A",
29,DKLH,"Apple iMac 21.5-inch 3.1GHz Core i3 (Late 2011) MC978LL/A",
30,DPNK,"Apple iMac 21.5-inch 3.1GHz Core i3 (Late 2011) MC978LL/A",
31,DPNW,"Apple iMac 21.5-inch 3.1GHz Core i3 (Late 2011) MC978LL/A",
32,DNCR,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
33,DNCR,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
34,DNCR,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
35,DNCT,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
36,DNCT,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
37,DNCT,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
38,DNML,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
39,DNML,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
40,DNML,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
41,DNMM,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
42,DNMM,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
43,DNMM,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
44,FC6M,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
45,FC6M,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
46,FC6M,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
47,FC6N,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
48,FC6N,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
49,FC6N,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
50,FC6P,"Apple iMac 21.5-inch 2.7GHz Quad-core i5 (Late 2012) MD093LL/A",
51,FC6P,"Apple iMac 21.5-inch 2.9GHz Quad-core i5 (Late 2012) MD094LL/A",
52,FC6P,"Apple iMac 21.5-inch 3.1GHz Quad-core i7 (Late 2012) MD094LL/A",
53,F8J2,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
54,F8J2,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
55,F8J2,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
56,F8J3,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
57,F8J3,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
58,F8J3,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
59,F8J7,"Apple iMac 21.5-inch 2.7GHz Quad-Core i5 (Late 2013) ME086LL/A",
60,F8J7,"Apple iMac 21.5-inch 2.9GHz Quad-Core i5 (Late 2013) ME087LL/A",
61,F8J7,"Apple iMac 21.5-inch 3.1GHz Quad-Core i7 (Late 2013) ME087LL/A",
